brand,model,avg_price,avg_rating,avg_specs_score,total_reviews,positive_sentiment_ratio,cluster,cluster_name
Apple,iPhone 13,1106.2243576683643,3.158239143367044,2.750084889643463,1767,0.5625353706847764,0,Premium Flagships
Apple,iPhone 14,1101.6324776286351,3.1857311320754715,2.755257270693512,1788,0.5587248322147651,0,Premium Flagships
Apple,iPhone 15 Pro,1100.859369771333,3.0839243498817965,2.682543223647518,1793,0.5264919129949804,1,Standard Mid-Range
Apple,iPhone SE,1103.4829064587973,3.101813926272674,2.71804008908686,1796,0.5350779510022272,1,Standard Mid-Range
Google,Pixel 6,808.6272761664565,3.119037004012484,2.706683480453972,2379,0.5523329129886507,2,High-Value Mid-Range
Google,Pixel 7a,807.7428322528364,3.126014523707817,2.7287682333873584,2468,0.5441653160453809,2,High-Value Mid-Range
Google,Pixel 8,799.0514495182238,3.129131776112825,2.7240050272308336,2387,0.5416841223292836,2,High-Value Mid-Range
Motorola,Edge 50,510.0108164146868,3.092575618698442,2.695377969762419,2315,0.5304535637149028,1,Standard Mid-Range
Motorola,Moto G Power,504.0317354317313,3.128399465002229,2.714589536367503,2351,0.5487026797107614,2,High-Value Mid-Range
Motorola,Razr 40,506.1640709812109,3.108496732026144,2.715240083507307,2395,0.5252609603340292,1,Standard Mid-Range
OnePlus,OnePlus 11R,672.7200760378134,3.1173688736027514,2.709165639128648,2433,0.5421290587751747,2,High-Value Mid-Range
OnePlus,OnePlus 12,670.1247610848042,3.1356009070294784,2.7246663796814463,2323,0.5467068445975032,2,High-Value Mid-Range
OnePlus,OnePlus Nord 3,672.9417773109243,3.143045774647887,2.7241176470588235,2380,0.5584033613445378,2,High-Value Mid-Range
Realme,Realme 12 Pro,394.441702970297,3.147565320665083,2.738896746817539,3535,0.5572842998585573,2,High-Value Mid-Range
Realme,Realme Narzo 70,392.1875813177648,3.1264233576642337,2.731832082290798,3597,0.5415624131220461,2,High-Value Mid-Range
Samsung,Galaxy A55,907.0319295302014,3.092765460910152,2.680872483221476,1788,0.5419463087248322,1,Standard Mid-Range
Samsung,Galaxy Note 20,901.1152068194522,3.1507890122735245,2.739966461710453,1789,0.548351034097261,2,High-Value Mid-Range
Samsung,Galaxy S24,894.8002867688813,3.075313807531381,2.667802385008518,1761,0.5303804656445201,1,Standard Mid-Range
Samsung,Galaxy Z Flip,899.218448074679,3.134886572654813,2.730105017502917,1714,0.5490081680280047,2,High-Value Mid-Range
Xiaomi,Mi 13 Pro,448.9022535787321,3.098367697594502,2.6896523517382414,2445,0.5451942740286299,1,Standard Mid-Range
Xiaomi,Poco X6,450.5320335339639,3.1261384335154827,2.735339638865004,2326,0.5331040412725709,2,High-Value Mid-Range
Xiaomi,Redmi Note 13,449.67921862348174,3.11972731146144,2.713846153846154,2470,0.5449392712550607,2,High-Value Mid-Range
